TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.711     0.225      34.2      36.4      12.2      5.80507  30613.  -7.7067   1.6191   5.911             0.46735       858.04803            8.33 100.0   0.0   0.0   0.084  14.4     103.3 193.5 172.6 179.6 180.0 159.2 117.9
 0 0.718     0.227      34.1      36.4      12.2      5.80431  30608.  -7.7735   1.6352   5.912             0.46708       857.55396            8.33 100.0   0.0   0.0   0.084  14.4     103.1 193.5 172.9 179.6 180.0 159.1 117.8
 0 0.725     0.229      34.1      36.4      12.3      5.80353  30603.  -7.8403   1.6514   5.914             0.46680       857.04791            8.33 100.0   0.0   0.0   0.084  14.4     102.8 193.5 173.3 179.6 180.0 159.0 117.8
 0 0.732     0.231      34.0      36.3      12.3      5.80274  30598.  -7.9070   1.6675   5.915             0.46652       856.53082            8.33 100.0   0.0   0.0   0.084  14.4     102.6 193.5 173.6 179.6 180.0 158.9 117.8
 0 0.739     0.233      34.0      36.3      12.3      5.80193  30593.  -7.9738   1.6837   5.916             0.46623       856.00507            8.33 100.0   0.0   0.0   0.084  14.4     102.4 193.5 174.0 179.6 180.0 158.8 117.8
 0 0.746     0.235      34.0      36.3      12.3      5.80110  30588.  -8.0406   1.6998   5.917             0.46594       855.46783            8.33 100.0   0.0   0.0   0.084  14.3     102.2 193.5 174.4 179.7 180.0 158.7 117.8
 0 0.753     0.237      33.9      36.3      12.3      5.80026  30582.  -8.1075   1.7160   5.918             0.46564       854.92139            8.33 100.0   0.0   0.0   0.084  14.3     101.9 193.5 174.7 179.7 180.0 158.6 117.8
 0 0.760     0.239      33.9      36.2      12.3      5.79941  30577.  -8.1743   1.7322   5.919             0.46534       854.36523            8.33 100.0   0.0   0.0   0.084  14.3     101.7 193.5 175.1 179.7 180.0 158.5 117.7
 0 0.767     0.241      33.9      36.2      12.3      5.79854  30572.  -8.2411   1.7484   5.920             0.46503       853.79950            8.33 100.0   0.0   0.0   0.084  14.3     101.5 193.5 175.4 179.7 180.0 158.4 117.7
 0 0.774     0.243      33.8      36.2      12.4      5.79765  30566.  -8.3080   1.7646   5.921             0.46472       853.22186            8.33 100.0   0.0   0.0   0.085  14.3     101.3 193.5 175.8 179.7 180.0 158.3 117.7
 0 0.781     0.245      33.8      36.2      12.4      5.79675  30560.  -8.3749   1.7809   5.922             0.46440       852.63507            8.34 100.0   0.0   0.0   0.085  14.3     101.0 193.5 176.2 179.8 180.0 158.2 117.7
 0 0.788     0.247      33.8      36.2      12.4      5.79584  30554.  -8.4419   1.7971   5.924             0.46407       852.03839            8.34 100.0   0.0   0.0   0.085  14.2     100.8 193.5 176.5 179.8 180.0 158.1 117.7
 0 0.795     0.249      33.7      36.2      12.4      5.79491  30548.  -8.5089   1.8134   5.925             0.46374       851.43146            8.34 100.0   0.0   0.0   0.085  14.2     100.6 193.5 176.9 179.8 180.0 158.0 117.6
 0 0.802     0.251      33.7      36.2      12.4      5.79396  30542.  -8.5760   1.8297   5.926             0.46341       850.81519            8.34 100.0   0.0   0.0   0.085  14.2     100.3 193.5 177.3 179.8 180.0 157.9 117.6
 0 0.809     0.253      33.7      36.2      12.4      5.79300  30536.  -8.6431   1.8460   5.927             0.46307       850.18945            8.34 100.0   0.0   0.0   0.085  14.2     100.1 193.5 177.6 179.8 180.0 157.8 117.6
